ID;Number;Day;Flavor
1110;55048981670904;Wednesday;['The Big Meat Pizza', 'The Chicken Pesto Pizza', 'The Sicilian Pizza', 'The Southwest Chicken Pizza', 'The Thai Chicken Pizza']
867;55048910009320;Tuesday;['The Four Cheese Pizza', 'The Thai Chicken Pizza', 'The Spinach Pesto Pizza', 'The Big Meat Pizza', 'The Spinach and Feta Pizza']
674;55048987058574;Sunday;['The Chicken Alfredo Pizza', 'The Green Garden Pizza', 'The Hawaiian Pizza', 'The Thai Chicken Pizza', 'The Pepperoni Pizza']
1794;55048937656105;Saturday;['The Spinach and Feta Pizza', 'The Green Garden Pizza', 'The California Chicken Pizza', 'The Big Meat Pizza', 'The Classic Deluxe Pizza']
431;55048945602813;Thursday;['The Classic Deluxe Pizza', 'The Hawaiian Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Pepper Salami Pizza', 'The Spinach Pesto Pizza']
1869;55048978034615;Tuesday;['The Pepperoni, Mushroom, and Peppers Pizza', 'The Sicilian Pizza', 'The Classic Deluxe Pizza', 'The Chicken Alfredo Pizza', 'The Spicy Italian Pizza']
1736;55048940161697;Tuesday;['The Pepper Salami Pizza', 'The Greek Pizza', 'The Sicilian Pizza', 'The Spinach Supreme Pizza', 'The Chicken Alfredo Pizza']
180;55048941240825;Wednesday;['The Napolitana Pizza', 'The Chicken Alfredo Pizza', 'The California Chicken Pizza', 'The Green Garden Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
238;55048918399080;Thursday;['The Mexicana Pizza', 'The Mediterranean Pizza', 'The Barbecue Chicken Pizza', 'The Big Meat Pizza', 'The Napolitana Pizza']
1772;55048911015287;Monday;['The Chicken Pesto Pizza', 'The Southwest Chicken Pizza', 'The Mexicana Pizza', 'The Mediterranean Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1024;55048989495755;Thursday;['The Greek Pizza', 'The Thai Chicken Pizza', 'The Four Cheese Pizza', 'The Mexicana Pizza', 'The Sicilian Pizza']
498;55048983178230;Sunday;['The California Chicken Pizza', 'The Spicy Italian Pizza', 'The Southwest Chicken Pizza', 'The Pepper Salami Pizza', 'The Barbecue Chicken Pizza']
1910;55048970532126;Tuesday;['The Big Meat Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Spinach Supreme Pizza', 'The Green Garden Pizza', 'The Vegetables + Vegetables Pizza']
1267;55048959141212;Saturday;['The Vegetables + Vegetables Pizza', 'The Italian Vegetables Pizza', 'The Mediterranean Pizza', 'The California Chicken Pizza', 'The Napolitana Pizza']
1139;55048994970723;Thursday;['The Pepperoni Pizza', 'The Pepper Salami Pizza', 'The Italian Supreme Pizza', 'The Five Cheese Pizza', 'The Chicken Pesto Pizza']
906;55048937009944;Thursday;['The Chicken Pesto Pizza', 'The Pepperoni Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Italian Supreme Pizza', 'The Spicy Italian Pizza']
1477;55048944056546;Sunday;['The Hawaiian Pizza', 'The Vegetables + Vegetables Pizza', 'The Southwest Chicken Pizza', 'The Napolitana Pizza', 'The Italian Supreme Pizza']
1749;55048982519793;Wednesday;['The Spinach and Feta Pizza', 'The Spinach Pesto Pizza', 'The Green Garden Pizza', 'The Hawaiian Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1421;55048971295973;Thursday;['The Italian Capocollo Pizza', 'The Barbecue Chicken Pizza', 'The Thai Chicken Pizza', 'The Spinach Supreme Pizza', 'The Spicy Italian Pizza']
1928;55048957300553;Thursday;['The Chicken Alfredo Pizza', 'The Italian Supreme Pizza', 'The Spicy Italian Pizza', 'The Spinach Supreme Pizza', 'The Spinach Pesto Pizza']
1823;55048948942499;Friday;['The Chicken Pesto Pizza', 'The Chicken Alfredo Pizza', 'The Big Meat Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Barbecue Chicken Pizza']
636;55048959430858;Thursday;['The Spicy Italian Pizza', 'The Southwest Chicken Pizza', 'The Napolitana Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Barbecue Chicken Pizza']
142;55048991575320;Saturday;['The Southwest Chicken Pizza', 'The Chicken Pesto Pizza', 'The Classic Deluxe Pizza', 'The California Chicken Pizza', 'The Spicy Italian Pizza']
1777;55048984600142;Thursday;['The Spicy Italian Pizza', 'The Italian Capocollo Pizza', 'The Greek Pizza', 'The Spinach and Feta Pizza', 'The Southwest Chicken Pizza']
1887;55048917657117;Monday;['The Vegetables + Vegetables Pizza', 'The Chicken Alfredo Pizza', 'The Pepperoni Pizza', 'The Sicilian Pizza', 'The Hawaiian Pizza']
1209;55048957027021;Thursday;['The Classic Deluxe Pizza', 'The Spinach and Feta Pizza', 'The Pepperoni Pizza', 'The Italian Supreme Pizza', 'The Mediterranean Pizza']
1262;55048952142347;Sunday;['The Calabrese Pizza', 'The Italian Capocollo Pizza', 'The Big Meat Pizza', 'The Hawaiian Pizza', 'The Classic Deluxe Pizza']
400;55048991652654;Wednesday;['The Thai Chicken Pizza', 'The Greek Pizza', 'The Barbecue Chicken Pizza', 'The California Chicken Pizza', 'The Southwest Chicken Pizza']
1939;55048928136569;Saturday;['The Green Garden Pizza', 'The Hawaiian Pizza', 'The Chicken Pesto Pizza', 'The Mediterranean Pizza', 'The Spinach Supreme Pizza']
418;55048935342022;Friday;['The Barbecue Chicken Pizza', 'The California Chicken Pizza', 'The Vegetables + Vegetables Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Chicken Alfredo Pizza']
1816;55048935308244;Thursday;['The Green Garden Pizza', 'The Napolitana Pizza', 'The California Chicken Pizza', 'The Spinach Supreme Pizza', 'The Mediterranean Pizza']
1945;55048939218456;Sunday;['The Pepperoni, Mushroom, and Peppers Pizza', 'The Spinach and Feta Pizza', 'The Mediterranean Pizza', 'The Mexicana Pizza', 'The Italian Supreme Pizza']
1072;55048923464240;Tuesday;['The Vegetables + Vegetables Pizza', 'The California Chicken Pizza', 'The Chicken Pesto Pizza', 'The Spinach Pesto Pizza', 'The Spinach and Feta Pizza']
1100;55048987848536;Thursday;['The Thai Chicken Pizza', 'The Classic Deluxe Pizza', 'The Napolitana Pizza', 'The Mexicana Pizza', 'The Chicken Pesto Pizza']
153;55048940118057;Wednesday;['The Italian Capocollo Pizza', 'The Five Cheese Pizza', 'The Big Meat Pizza', 'The Napolitana Pizza', 'The Classic Deluxe Pizza']
1648;55048917501500;Monday;['The Big Meat Pizza', 'The Five Cheese Pizza', 'The California Chicken Pizza', 'The Barbecue Chicken Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1530;55048946344491;Thursday;['The Pepperoni Pizza', 'The Big Meat Pizza', 'The Spicy Italian Pizza', 'The Sicilian Pizza', 'The Pepper Salami Pizza']
1796;55048945802581;Tuesday;['The Chicken Alfredo Pizza', 'The Classic Deluxe Pizza', 'The Green Garden Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Big Meat Pizza']
783;55048973871243;Thursday;['The Barbecue Chicken Pizza', 'The Mediterranean Pizza', 'The Italian Supreme Pizza', 'The Spinach and Feta Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1097;55048941218824;Monday;['The Spicy Italian Pizza', 'The Prosciutto and Arugula Pizza', 'The Mexicana Pizza', 'The Classic Deluxe Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
485;55048940125127;Tuesday;['The Pepperoni, Mushroom, and Peppers Pizza', 'The Hawaiian Pizza', 'The Spinach Pesto Pizza', 'The Thai Chicken Pizza', 'The Italian Vegetables Pizza']
343;55048965426682;Sunday;['The Spicy Italian Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Vegetables + Vegetables Pizza', 'The Thai Chicken Pizza', 'The Pepper Salami Pizza']
385;55048992193346;Thursday;['The Spinach Supreme Pizza', 'The Spinach Pesto Pizza', 'The Green Garden Pizza', 'The Chicken Alfredo Pizza', 'The Southwest Chicken Pizza']
1795;55048972243570;Saturday;['The Italian Supreme Pizza', 'The Spicy Italian Pizza', 'The Four Cheese Pizza', 'The Mexicana Pizza', 'The Thai Chicken Pizza']
1465;55048931314428;Saturday;['The Pepperoni Pizza', 'The Spinach Supreme Pizza', 'The Five Cheese Pizza', 'The California Chicken Pizza', 'The Chicken Pesto Pizza']
1221;55048956351456;Sunday;['The Thai Chicken Pizza', 'The Hawaiian Pizza', 'The Spicy Italian Pizza', 'The Southwest Chicken Pizza', 'The Pepper Salami Pizza']
1389;55048975609055;Wednesday;['The Pepper Salami Pizza', 'The Green Garden Pizza', 'The California Chicken Pizza', 'The Spicy Italian Pizza', 'The Southwest Chicken Pizza']
1622;55048932558145;Thursday;['The Hawaiian Pizza', 'The Spicy Italian Pizza', 'The Green Garden Pizza', 'The Vegetables + Vegetables Pizza', 'The Spinach and Feta Pizza']
448;55048917823787;Wednesday;['The Pepper Salami Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Big Meat Pizza', 'The Italian Supreme Pizza', 'The California Chicken Pizza']
95;55048933259087;Tuesday;['The Barbecue Chicken Pizza', 'The Napolitana Pizza', 'The Spinach and Feta Pizza', 'The Green Garden Pizza', 'The Thai Chicken Pizza']
227;55048967909645;Tuesday;['The Chicken Pesto Pizza', 'The Spicy Italian Pizza', 'The Southwest Chicken Pizza', 'The Five Cheese Pizza', 'The Classic Deluxe Pizza']
1269;55048946533169;Monday;['The Chicken Pesto Pizza', 'The Napolitana Pizza', 'The Spicy Italian Pizza', 'The Thai Chicken Pizza', 'The Italian Capocollo Pizza']
1519;55048990468583;Tuesday;['The Pepperoni Pizza', 'The Italian Supreme Pizza', 'The Four Cheese Pizza', 'The Napolitana Pizza', 'The Thai Chicken Pizza']
628;55048972750802;Saturday;['The Chicken Pesto Pizza', 'The Thai Chicken Pizza', 'The Italian Supreme Pizza', 'The Sicilian Pizza', 'The Vegetables + Vegetables Pizza']
1059;55048917155148;Thursday;['The Spinach and Feta Pizza', 'The Spinach Pesto Pizza', 'The Vegetables + Vegetables Pizza', 'The Classic Deluxe Pizza', 'The California Chicken Pizza']
817;55048946320739;Wednesday;['The Five Cheese Pizza', 'The Classic Deluxe Pizza', 'The Vegetables + Vegetables Pizza', 'The Italian Capocollo Pizza', 'The Chicken Alfredo Pizza']
1040;55048977387107;Tuesday;['The Chicken Pesto Pizza', 'The Sicilian Pizza', 'The Italian Vegetables Pizza', 'The Barbecue Chicken Pizza', 'The Vegetables + Vegetables Pizza']
446;55048938599066;Thursday;['The Green Garden Pizza', 'The Mexicana Pizza', 'The Napolitana Pizza', 'The Chicken Pesto Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1051;55048930812256;Monday;['The Southwest Chicken Pizza', 'The Napolitana Pizza', 'The Thai Chicken Pizza', 'The Chicken Alfredo Pizza', 'The Mexicana Pizza']
1711;55048972078059;Friday;['The Barbecue Chicken Pizza', 'The California Chicken Pizza', 'The Sicilian Pizza', 'The Chicken Pesto Pizza', 'The Spinach and Feta Pizza']
279;55048948548019;Thursday;['The Chicken Pesto Pizza', 'The Spinach Supreme Pizza', 'The Chicken Alfredo Pizza', 'The Five Cheese Pizza', 'The Classic Deluxe Pizza']
410;55048959593240;Friday;['The Spicy Italian Pizza', 'The Pepper Salami Pizza', 'The Southwest Chicken Pizza', 'The Italian Supreme Pizza', 'The Italian Capocollo Pizza']
1462;55048930165383;Saturday;['The Spinach Supreme Pizza', 'The Green Garden Pizza', 'The Napolitana Pizza', 'The Italian Capocollo Pizza', 'The Mexicana Pizza']
1513;55048991492884;Saturday;['The Big Meat Pizza', 'The Chicken Alfredo Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Thai Chicken Pizza', 'The Chicken Pesto Pizza']
377;55048964627842;Friday;['The Vegetables + Vegetables Pizza', 'The Pepper Salami Pizza', 'The Thai Chicken Pizza', 'The Chicken Pesto Pizza', 'The Mexicana Pizza']
348;55048963527331;Thursday;['The Vegetables + Vegetables Pizza', 'The Big Meat Pizza', 'The Pepper Salami Pizza', 'The Sicilian Pizza', 'The Chicken Pesto Pizza']
603;55048989534640;Tuesday;['The Pepperoni Pizza', 'The California Chicken Pizza', 'The Sicilian Pizza', 'The Mexicana Pizza', 'The Napolitana Pizza']
480;55048962383962;Monday;['The Spicy Italian Pizza', 'The Italian Supreme Pizza', 'The Spinach and Feta Pizza', 'The Green Garden Pizza', 'The California Chicken Pizza']
1715;55048925758803;Tuesday;['The Southwest Chicken Pizza', 'The Spicy Italian Pizza', 'The Vegetables + Vegetables Pizza', 'The Italian Supreme Pizza', 'The Thai Chicken Pizza']
1695;55048938139463;Monday;['The Thai Chicken Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Prosciutto and Arugula Pizza', 'The Spicy Italian Pizza', 'The Classic Deluxe Pizza']
168;55048979389062;Thursday;['The Five Cheese Pizza', 'The Mexicana Pizza', 'The Sicilian Pizza', 'The Pepperoni Pizza', 'The Green Garden Pizza']
1516;55048917939825;Friday;['The Napolitana Pizza', 'The Mexicana Pizza', 'The Calabrese Pizza', 'The Italian Capocollo Pizza', 'The Southwest Chicken Pizza']
1294;55048910120500;Friday;['The Spinach Supreme Pizza', 'The Napolitana Pizza', 'The Italian Supreme Pizza', 'The California Chicken Pizza', 'The Vegetables + Vegetables Pizza']
184;55048932445956;Wednesday;['The Mexicana Pizza', 'The Spinach and Feta Pizza', 'The Five Cheese Pizza', 'The Napolitana Pizza', 'The Spinach Pesto Pizza']
1694;55048978269328;Friday;['The Southwest Chicken Pizza', 'The Pepper Salami Pizza', 'The Napolitana Pizza', 'The California Chicken Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1681;55048979449307;Friday;['The Spinach and Feta Pizza', 'The Pepperoni Pizza', 'The Big Meat Pizza', 'The Prosciutto and Arugula Pizza', 'The Napolitana Pizza']
1548;55048923248870;Wednesday;['The Spicy Italian Pizza', 'The Chicken Alfredo Pizza', 'The Sicilian Pizza', 'The Pepperoni Pizza', 'The Pepper Salami Pizza']
467;55048942862683;Thursday;['The Spicy Italian Pizza', 'The Mexicana Pizza', 'The Italian Vegetables Pizza', 'The Green Garden Pizza', 'The Prosciutto and Arugula Pizza']
253;55048960458466;Sunday;['The Chicken Pesto Pizza', 'The Spinach Pesto Pizza', 'The California Chicken Pizza', 'The Big Meat Pizza', 'The Five Cheese Pizza']
780;55048923926260;Thursday;['The Chicken Alfredo Pizza', 'The Mexicana Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Italian Capocollo Pizza', 'The California Chicken Pizza']
291;55048917497089;Tuesday;['The Four Cheese Pizza', 'The Pepper Salami Pizza', 'The Mexicana Pizza', 'The Italian Capocollo Pizza', 'The Spicy Italian Pizza']
268;55048960204843;Thursday;['The Pepperoni, Mushroom, and Peppers Pizza', 'The Spinach and Feta Pizza', 'The Italian Capocollo Pizza', 'The Pepper Salami Pizza', 'The Vegetables + Vegetables Pizza']
1481;55048925575030;Saturday;['The Vegetables + Vegetables Pizza', 'The Sicilian Pizza', 'The Thai Chicken Pizza', 'The California Chicken Pizza', 'The Chicken Pesto Pizza']
499;55048914018186;Monday;['The Spicy Italian Pizza', 'The Hawaiian Pizza', 'The Chicken Alfredo Pizza', 'The Classic Deluxe Pizza', 'The Thai Chicken Pizza']
359;55048947089317;Wednesday;['The Big Meat Pizza', 'The Napolitana Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Italian Supreme Pizza', 'The Mexicana Pizza']
1599;55048918817177;Monday;['The Pepper Salami Pizza', 'The Chicken Alfredo Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Napolitana Pizza', 'The Five Cheese Pizza']
1130;55048948134747;Wednesday;['The California Chicken Pizza', 'The Napolitana Pizza', 'The Vegetables + Vegetables Pizza', 'The Hawaiian Pizza', 'The Spinach Pesto Pizza']
620;55048963787746;Monday;['The Chicken Alfredo Pizza', 'The Spinach and Feta Pizza', 'The Classic Deluxe Pizza', 'The Mediterranean Pizza', 'The Napolitana Pizza']
87;55048980674348;Saturday;['The Pepperoni Pizza', 'The Spicy Italian Pizza', 'The Green Garden Pizza', 'The Sicilian Pizza', 'The Spinach and Feta Pizza']
948;55048941148523;Friday;['The Southwest Chicken Pizza', 'The Spinach and Feta Pizza', 'The Barbecue Chicken Pizza', 'The Spicy Italian Pizza', 'The Chicken Pesto Pizza']
764;55048956396963;Monday;['The Green Garden Pizza', 'The Thai Chicken Pizza', 'The Italian Vegetables Pizza', 'The Chicken Pesto Pizza', 'The Napolitana Pizza']
51;55048966565290;Thursday;['The California Chicken Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Vegetables + Vegetables Pizza', 'The Italian Capocollo Pizza', 'The Italian Supreme Pizza']
1242;55048921695924;Saturday;['The Chicken Pesto Pizza', 'The Calabrese Pizza', 'The Spicy Italian Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Italian Vegetables Pizza']
394;55048989491027;Monday;['The Chicken Alfredo Pizza', 'The Southwest Chicken Pizza', 'The Thai Chicken Pizza', 'The Pepper Salami Pizza', 'The Spinach Supreme Pizza']
1057;55048931063871;Thursday;['The Napolitana Pizza', 'The Spinach and Feta Pizza', 'The Mexicana Pizza', 'The Spinach Pesto Pizza', 'The Italian Vegetables Pizza']
682;55048931699078;Sunday;['The Pepperoni Pizza', 'The Thai Chicken Pizza', 'The Southwest Chicken Pizza', 'The Spicy Italian Pizza', 'The Green Garden Pizza']
1260;55048987309655;Sunday;['The Spinach Supreme Pizza', 'The Pepper Salami Pizza', 'The Vegetables + Vegetables Pizza', 'The Italian Supreme Pizza', 'The Napolitana Pizza']
275;55048994632887;Tuesday;['The Chicken Alfredo Pizza', 'The Mexicana Pizza', 'The Vegetables + Vegetables Pizza', 'The Barbecue Chicken Pizza', 'The Thai Chicken Pizza']
997;55048997456985;Friday;['The Pepperoni Pizza', 'The Five Cheese Pizza', 'The Big Meat Pizza', 'The Mediterranean Pizza', 'The Pepper Salami Pizza']
1644;55048979421843;Sunday;['The Chicken Alfredo Pizza', 'The Mexicana Pizza', 'The Thai Chicken Pizza', 'The Mediterranean Pizza', 'The Southwest Chicken Pizza']
336;55048952120229;Monday;['The Greek Pizza', 'The Spinach and Feta Pizza', 'The Spinach Pesto Pizza', 'The Thai Chicken Pizza', 'The Sicilian Pizza']
692;55048924658948;Wednesday;['The Mediterranean Pizza', 'The Mexicana Pizza', 'The Italian Vegetables Pizza', 'The Italian Capocollo Pizza', 'The Chicken Pesto Pizza']
933;55048996610392;Tuesday;['The Green Garden Pizza', 'The Spicy Italian Pizza', 'The Italian Supreme Pizza', 'The Greek Pizza', 'The Chicken Pesto Pizza']
1070;55048945968717;Wednesday;['The Italian Capocollo Pizza', 'The Pepperoni Pizza', 'The Mexicana Pizza', 'The Classic Deluxe Pizza', 'The Vegetables + Vegetables Pizza']
941;55048954551053;Sunday;['The Classic Deluxe Pizza', 'The Spinach Pesto Pizza', 'The Hawaiian Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Thai Chicken Pizza']
772;55048998668947;Tuesday;['The Chicken Pesto Pizza', 'The California Chicken Pizza', 'The Southwest Chicken Pizza', 'The Vegetables + Vegetables Pizza', 'The Pepper Salami Pizza']
312;55048961516966;Saturday;['The Mediterranean Pizza', 'The Spinach Supreme Pizza', 'The Spicy Italian Pizza', 'The Mexicana Pizza', 'The Thai Chicken Pizza']
1207;55048971706357;Wednesday;['The Southwest Chicken Pizza', 'The Spinach and Feta Pizza', 'The Big Meat Pizza', 'The Chicken Alfredo Pizza', 'The Pepperoni Pizza']
845;55048952243031;Tuesday;['The Spinach and Feta Pizza', 'The Pepper Salami Pizza', 'The Chicken Pesto Pizza', 'The Classic Deluxe Pizza', 'The Big Meat Pizza']
741;55048994264258;Thursday;['The Pepperoni Pizza', 'The Chicken Pesto Pizza', 'The Italian Vegetables Pizza', 'The Spinach Pesto Pizza', 'The Thai Chicken Pizza']
653;55048965487057;Wednesday;['The Spicy Italian Pizza', 'The Mexicana Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Chicken Alfredo Pizza', 'The Chicken Pesto Pizza']
1512;55048967812546;Saturday;['The Vegetables + Vegetables Pizza', 'The Thai Chicken Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Hawaiian Pizza', 'The Chicken Alfredo Pizza']
1452;55048981896644;Wednesday;['The Barbecue Chicken Pizza', 'The Sicilian Pizza', 'The Napolitana Pizza', 'The Mediterranean Pizza', 'The Chicken Alfredo Pizza']
1379;55048992145589;Friday;['The Spinach Supreme Pizza', 'The Italian Capocollo Pizza', 'The Southwest Chicken Pizza', 'The Spicy Italian Pizza', 'The Pepperoni Pizza']
725;55048914618324;Sunday;['The Pepperoni, Mushroom, and Peppers Pizza', 'The Green Garden Pizza', 'The Five Cheese Pizza', 'The Thai Chicken Pizza', 'The Spinach Supreme Pizza']
1144;55048953990204;Tuesday;['The Southwest Chicken Pizza', 'The Hawaiian Pizza', 'The Vegetables + Vegetables Pizza', 'The Spicy Italian Pizza', 'The California Chicken Pizza']
998;55048926828673;Thursday;['The Spinach Supreme Pizza', 'The California Chicken Pizza', 'The Sicilian Pizza', 'The Italian Capocollo Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1832;55048939700881;Friday;['The Vegetables + Vegetables Pizza', 'The Spinach and Feta Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Big Meat Pizza', 'The Chicken Pesto Pizza']
1403;55048910845742;Wednesday;['The California Chicken Pizza', 'The Spicy Italian Pizza', 'The Mexicana Pizza', 'The Pepperoni Pizza', 'The Chicken Pesto Pizza']
1019;55048998042012;Tuesday;['The Brie Carre Pizza', 'The Spicy Italian Pizza', 'The Napolitana Pizza', 'The Sicilian Pizza', 'The Southwest Chicken Pizza']
1484;55048937273487;Sunday;['The Spinach Supreme Pizza', 'The Chicken Pesto Pizza', 'The Spinach Pesto Pizza', 'The Southwest Chicken Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1883;55048916029089;Saturday;['The Greek Pizza', 'The Green Garden Pizza', 'The Italian Capocollo Pizza', 'The Vegetables + Vegetables Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
311;55048994771451;Friday;['The Chicken Pesto Pizza', 'The Spinach Supreme Pizza', 'The Thai Chicken Pizza', 'The Hawaiian Pizza', 'The Mediterranean Pizza']
1425;55048967488385;Tuesday;['The Sicilian Pizza', 'The Chicken Alfredo Pizza', 'The Mexicana Pizza', 'The Spinach and Feta Pizza', 'The Hawaiian Pizza']
224;55048924572855;Thursday;['The Chicken Alfredo Pizza', 'The Italian Supreme Pizza', 'The Mexicana Pizza', 'The Barbecue Chicken Pizza', 'The California Chicken Pizza']
12;55048956979914;Wednesday;['The Spicy Italian Pizza', 'The Southwest Chicken Pizza', 'The Mexicana Pizza', 'The California Chicken Pizza', 'The Pepper Salami Pizza']
1763;55048976501761;Monday;['The Southwest Chicken Pizza', 'The California Chicken Pizza', 'The Four Cheese Pizza', 'The Pepperoni Pizza', 'The Chicken Pesto Pizza']
748;55048945084818;Monday;['The Prosciutto and Arugula Pizza', 'The Thai Chicken Pizza', 'The Green Garden Pizza', 'The Vegetables + Vegetables Pizza', 'The Mexicana Pizza']
86;55048914045448;Saturday;['The Napolitana Pizza', 'The California Chicken Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Italian Capocollo Pizza', 'The Pepper Salami Pizza']
1235;55048965463324;Thursday;['The Pepperoni Pizza', 'The Chicken Pesto Pizza', 'The Big Meat Pizza', 'The Four Cheese Pizza', 'The Vegetables + Vegetables Pizza']
1430;55048943318342;Friday;['The Spinach and Feta Pizza', 'The Green Garden Pizza', 'The Pepperoni Pizza', 'The Spinach Supreme Pizza', 'The Italian Supreme Pizza']
387;55048949218524;Thursday;['The Spicy Italian Pizza', 'The Pepperoni Pizza', 'The Big Meat Pizza', 'The Barbecue Chicken Pizza', 'The Chicken Pesto Pizza']
1722;55048983106593;Thursday;['The Pepperoni Pizza', 'The Mexicana Pizza', 'The Napolitana Pizza', 'The Big Meat Pizza', 'The Spicy Italian Pizza']
855;55048966368056;Friday;['The Chicken Pesto Pizza', 'The Barbecue Chicken Pizza', 'The Soppressata Pizza', 'The Italian Capocollo Pizza', 'The Sicilian Pizza']
1121;55048914321219;Sunday;['The Vegetables + Vegetables Pizza', 'The Big Meat Pizza', 'The Spinach Supreme Pizza', 'The Classic Deluxe Pizza', 'The Pepperoni Pizza']
79;55048939037775;Thursday;['The Napolitana Pizza', 'The Spinach Supreme Pizza', 'The Spinach Pesto Pizza', 'The Vegetables + Vegetables Pizza', 'The Pepperoni Pizza']
1684;55048940103758;Tuesday;['The California Chicken Pizza', 'The Chicken Pesto Pizza', 'The Vegetables + Vegetables Pizza', 'The Pepperoni Pizza', 'The Thai Chicken Pizza']
1805;55048963803283;Sunday;['The Pepper Salami Pizza', 'The Classic Deluxe Pizza', 'The Chicken Alfredo Pizza', 'The Spinach Supreme Pizza', 'The Pepperoni Pizza']
1593;55048970867310;Monday;['The Pepperoni, Mushroom, and Peppers Pizza', 'The Spicy Italian Pizza', 'The Pepperoni Pizza', 'The Sicilian Pizza', 'The California Chicken Pizza']
